,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,SOS
1,Sam Dekker,2013-14,Wisconsin,Big Ten,38,38,29.8,4.4,9.4,0.469,3.3,6.0,0.55,1.1,3.4,0.326,2.5,3.6,0.6859999999999999,1.7,4.4,6.1,1.4,0.8,0.6,1.1,1.4,12.4,,10.19
2,Sam Dekker,2014-15,Wisconsin,Big Ten,40,40,31.0,5.3,10.2,0.525,4.1,6.4,0.639,1.3,3.8,0.331,2.0,2.8,0.708,1.9,3.6,5.5,1.2,0.5,0.5,0.9,1.1,13.9,,10.29
0,Jerian Grant,2011-12,Notre Dame,Big East,34,33,36.2,3.6,9.6,0.38,2.0,4.9,0.406,1.7,4.7,0.354,3.3,4.1,0.8190000000000001,0.5,2.3,2.9,5.0,1.3,0.2,1.8,1.7,12.3,,6.47
1,Jerian Grant,2012-13,Notre Dame,Big East,35,34,36.3,4.5,11.0,0.406,3.0,6.7,0.446,1.5,4.3,0.344,2.9,3.9,0.737,0.3,2.5,2.9,5.5,1.3,0.2,2.9,1.8,13.3,,7.22
2,Jerian Grant,2013-14,Notre Dame,ACC,12,12,35.6,6.0,11.6,0.518,4.3,7.5,0.578,1.7,4.1,0.408,5.3,6.2,0.865,0.3,2.2,2.5,6.2,2.0,0.3,1.8,2.0,19.0,,6.78
3,Jerian Grant,2014-15,Notre Dame,ACC,38,38,37.1,5.4,11.2,0.478,4.1,7.1,0.5720000000000001,1.3,4.2,0.316,4.5,5.7,0.78,0.3,2.7,3.0,6.7,1.7,0.5,2.2,2.0,16.5,,7.02
0,D'Angelo Russell,2014-15,Ohio State,Big Ten,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.41100000000000003,3.4,4.5,0.7559999999999999,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,,7.37
0,Delon Wright,2013-14,Utah,Pac-12,33,33,36.4,5.3,9.4,0.561,4.9,7.8,0.633,0.4,1.6,0.222,4.6,5.8,0.7929999999999999,1.3,5.5,6.8,5.3,2.5,1.3,2.5,1.8,15.5,,6.21
1,Delon Wright,2014-15,Utah,Pac-12,35,35,33.3,4.7,9.3,0.509,4.0,7.2,0.5539999999999999,0.7,2.1,0.35600000000000004,4.4,5.2,0.836,1.0,4.0,4.9,5.1,2.1,1.0,1.9,1.4,14.5,,7.42
0,Justin Anderson,2012-13,Virginia,ACC,35,17,24.0,2.5,6.1,0.42,2.0,4.2,0.473,0.6,1.9,0.303,1.9,2.5,0.764,0.9,2.4,3.3,2.3,0.9,1.2,1.2,1.4,7.6,,4.23
1,Justin Anderson,2013-14,Virginia,ACC,37,5,21.6,2.6,6.4,0.40700000000000003,1.8,3.6,0.493,0.8,2.8,0.294,1.8,2.6,0.716,0.7,2.5,3.2,1.5,0.4,0.8,1.4,1.6,7.8,,7.86
2,Justin Anderson,2014-15,Virginia,ACC,26,22,27.8,4.0,8.5,0.466,2.2,4.5,0.479,1.8,4.0,0.452,2.5,3.2,0.78,0.7,3.4,4.0,1.7,0.7,0.5,1.2,1.2,12.2,,7.81
0,Bobby Portis,2013-14,Arkansas,SEC,34,34,27.0,4.7,9.3,0.509,4.5,8.3,0.537,0.3,1.0,0.273,2.6,3.5,0.737,2.5,4.2,6.8,1.5,1.0,1.6,1.2,1.7,12.3,,5.57
1,Bobby Portis,2014-15,Arkansas,SEC,36,36,29.9,6.9,12.9,0.536,6.6,12.1,0.541,0.4,0.8,0.467,3.2,4.3,0.737,3.7,5.2,8.9,1.2,1.1,1.4,1.6,2.2,17.5,,6.79
0,Rondae Hollis-Jefferson,2013-14,Arizona,Pac-12,38,6,25.3,3.2,6.5,0.49,3.1,6.2,0.502,0.1,0.3,0.2,2.7,4.0,0.682,2.2,3.5,5.7,1.4,0.7,1.1,1.2,2.4,9.1,,9.04
1,Rondae Hollis-Jefferson,2014-15,Arizona,Pac-12,38,25,28.7,3.6,7.2,0.502,3.5,6.5,0.537,0.2,0.8,0.207,3.8,5.4,0.7070000000000001,2.0,4.8,6.8,1.6,1.2,0.8,1.6,2.5,11.2,,7.41
0,Tyus Jones,2014-15,Duke,ACC,39,39,33.9,3.5,8.3,0.417,2.3,5.1,0.44,1.2,3.2,0.379,3.7,4.2,0.889,0.5,3.0,3.5,5.6,1.5,0.1,1.9,1.2,11.8,,9.87
0,Jarell Martin,2013-14,LSU,SEC,32,25,26.2,3.8,8.0,0.47100000000000003,2.9,5.5,0.534,0.8,2.5,0.33299999999999996,1.9,2.8,0.6890000000000001,1.8,2.8,4.6,0.9,0.8,0.7,1.6,2.4,10.3,,6.61
1,Jarell Martin,2014-15,LSU,SEC,33,32,35.1,6.1,12.0,0.509,5.7,10.5,0.545,0.4,1.6,0.26899999999999996,4.2,6.2,0.69,3.0,6.3,9.2,1.8,1.2,0.7,2.8,2.8,16.9,,5.63
0,Larry Nance,2011-12,Wyoming,MWC,33,0,17.9,1.5,3.2,0.462,1.4,2.9,0.474,0.1,0.3,0.333,1.1,1.3,0.8140000000000001,1.3,2.7,4.0,0.4,0.8,0.6,0.8,1.7,4.1,,1.43
1,Larry Nance,2012-13,Wyoming,MWC,33,33,32.0,3.9,7.3,0.5329999999999999,3.6,6.5,0.5589999999999999,0.3,0.9,0.345,2.5,3.4,0.75,1.9,5.0,6.9,1.2,1.3,0.7,1.5,2.6,10.7,,4.61
2,Larry Nance,2013-14,Wyoming,MWC,26,26,34.7,5.7,10.4,0.544,5.3,9.0,0.5920000000000001,0.3,1.4,0.243,3.7,4.9,0.758,1.3,7.3,8.6,1.6,1.4,2.1,1.7,2.8,15.4,,2.34
3,Larry Nance,2014-15,Wyoming,MWC,31,30,34.9,6.0,11.6,0.514,5.5,10.3,0.5379999999999999,0.5,1.4,0.333,3.7,4.7,0.7859999999999999,1.4,5.8,7.2,2.5,1.2,1.2,2.3,2.2,16.1,,-0.04
0,R.J. Hunter,2012-13,Georgia State,CAA,31,31,33.5,5.6,12.9,0.439,3.3,6.4,0.513,2.4,6.5,0.365,3.4,4.3,0.7759999999999999,1.0,4.1,5.1,1.8,1.7,0.8,1.7,1.7,17.0,,-2.4
1,R.J. Hunter,2013-14,Georgia State,Sun Belt,33,32,33.5,5.5,12.4,0.444,2.5,4.7,0.523,3.0,7.7,0.395,4.3,4.9,0.882,0.3,4.2,4.6,1.7,1.9,0.9,1.2,2.3,18.3,,-2.56
2,R.J. Hunter,2014-15,Georgia State,Sun Belt,35,35,37.0,5.8,14.7,0.395,3.5,7.2,0.488,2.3,7.5,0.305,5.8,6.6,0.878,0.8,3.9,4.7,3.6,2.1,1.0,2.2,2.4,19.7,,-2.03
0,Chris McCullough,2014-15,Syracuse,ACC,16,16,28.1,3.4,7.1,0.478,3.3,7.0,0.473,0.1,0.1,1.0,2.5,4.4,0.563,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,,7.68
0,Kevon Looney,2014-15,UCLA,Pac-12,36,36,30.9,4.2,8.9,0.47,3.6,7.4,0.48100000000000004,0.6,1.5,0.415,2.6,4.1,0.626,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,,8.27
0,Montrezl Harrell,2012-13,Louisville,Big East,40,3,16.2,2.4,4.2,0.5770000000000001,2.4,4.2,0.5770000000000001,0.0,0.0,,0.8,1.6,0.508,1.6,2.1,3.6,0.2,0.5,0.7,0.6,1.3,5.7,,9.13
1,Montrezl Harrell,2013-14,Louisville,AAC,37,37,29.3,6.0,9.9,0.609,6.0,9.8,0.609,0.1,0.1,0.667,1.9,4.1,0.464,3.2,5.2,8.4,1.2,1.0,1.3,1.4,2.4,14.0,,4.8
2,Montrezl Harrell,2014-15,Louisville,ACC,35,35,35.1,6.1,10.7,0.5660000000000001,5.8,9.7,0.602,0.3,1.1,0.243,3.3,5.5,0.597,3.2,6.0,9.2,1.4,0.9,1.2,2.0,2.1,15.7,,8.98
0,Jordan Mickey,2013-14,LSU,SEC,34,34,32.8,5.1,9.5,0.534,5.1,9.3,0.5429999999999999,0.0,0.1,0.0,2.7,3.9,0.695,2.3,5.6,7.9,1.1,0.6,3.1,2.3,2.2,12.8,,6.61
1,Jordan Mickey,2014-15,LSU,SEC,31,31,34.9,6.2,12.2,0.504,6.1,11.9,0.514,0.0,0.3,0.111,3.1,4.7,0.6459999999999999,3.2,6.7,9.9,1.3,0.9,3.6,3.3,2.6,15.4,,5.63
0,Anthony Brown,2010-11,Stanford,Pac-10,30,11,23.9,3.0,7.2,0.417,1.6,3.2,0.495,1.4,4.0,0.353,1.3,1.8,0.7090000000000001,1.0,2.2,3.2,0.8,0.5,0.2,1.1,1.3,8.7,,5.17
1,Anthony Brown,2011-12,Stanford,Pac-12,37,21,23.9,2.9,7.2,0.396,1.7,4.0,0.4320000000000001,1.1,3.2,0.35,1.2,1.9,0.625,0.9,3.2,4.0,1.0,0.6,0.1,1.3,1.8,8.1,,3.99
2,Anthony Brown,2012-13,Stanford,Pac-12,4,2,17.5,1.0,5.0,0.2,0.5,3.5,0.14300000000000002,0.5,1.5,0.333,0.5,0.5,1.0,0.3,2.0,2.3,0.3,0.3,0.3,1.3,1.8,3.0,,7.37
3,Anthony Brown,2013-14,Stanford,Pac-12,36,35,33.5,3.9,8.3,0.475,2.5,5.1,0.489,1.5,3.3,0.453,2.9,3.8,0.785,0.9,4.1,5.0,2.1,0.9,0.1,1.9,1.9,12.3,,9.0
4,Anthony Brown,2014-15,Stanford,Pac-12,37,36,35.7,4.8,11.0,0.431,2.6,6.2,0.424,2.1,4.8,0.441,3.1,3.9,0.795,1.1,5.8,6.9,2.5,0.8,0.2,1.9,2.1,14.8,,7.33
0,Rakeem Christmas,2011-12,Syracuse,Big East,37,35,11.5,1.2,2.0,0.573,1.2,2.0,0.573,0.0,0.0,,0.4,0.8,0.5710000000000001,1.1,1.8,2.9,0.2,0.3,0.8,0.6,1.7,2.8,,8.02
1,Rakeem Christmas,2012-13,Syracuse,Big East,40,40,20.9,2.2,4.1,0.53,2.2,4.1,0.53,0.0,0.0,,0.8,1.4,0.574,1.8,2.8,4.6,0.2,0.5,1.8,0.9,2.5,5.1,,8.57
2,Rakeem Christmas,2013-14,Syracuse,ACC,34,34,23.6,2.2,3.6,0.613,2.2,3.6,0.613,0.0,0.0,,1.3,1.8,0.726,2.1,3.0,5.1,0.7,0.5,1.9,0.8,3.1,5.8,,7.25
